Tweet;Classfy
@ridwankamil @dbmpkotabdg kang teman saya tertimpa pohn dijln sangkuriang dpn polsek coblong tlg ditertibkan phn yg sdh lapuknuhun;Keluhan
@dbmpkotabdg RT @fajriattack: Lapor pak @ridwankamil lampu penerangan jalan depan kampus lpkia ngaplek :(:(:( https://t.co/RNsU5cQHuq;Keluhan
Pa @ridwankamil tempat kerja saya tgl 25 tetep masuk. gimana itu aturannya pa? kalo misalnya ga masuk dipotong gaji https://t.co/u3L7XtJFgE;Keluhan
@pdamtirtawening@ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;Keluhan
RT @KendiAdiputra: Anak SMA yang ketahuan mencuri helem di bip, hari ini pak @ridwankamil https://t.co/Zyz2bo4Ipk;Keluhan
Kang @ridwankamil, jalan di Muararajeun Baru, baru sebulanan dibenerin,udah rusak lagi. Yang ngerjain kaya ga serius https://t.co/yULuN5GC7n;Keluhan
RT @AdamMaulud: Didinyamah kieu ?? bosss! Kumaha pak? @ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pisan atuhda-.- https://t.c…;Keluhan
Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :((;Keluhan
RT @iqbalfg: Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :…;Keluhan
Pak, tadi saya habis dari Kebun Binatang, itu kebersihannya masih kurang dan orangutannya juga jomblo pak, mohon solusi pak.. @ridwankamil;Keluhan
RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;Keluhan
Bonbin bandung agak kurang terawat, kasian sama hewan hewannya. Pak @ridwankamil coba bonbin bandung di bikin kayak singapore zoo;Keluhan
RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;Keluhan
@dishub_kotabdg sepertinya yang membuat jlnan macet adlah prmptan. Hrsnya ada jambtn lyang ditiap perempatan. @ridwankamil;Keluhan
@infobdg kalau macet begini, di lihat di depannya, karena apa macetnya? angkot/bus ngetem? pasti ada sumber titik macetnya @ridwankamil;Keluhan
#SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb @Satpolppbdg;Keluhan
RT @se_bdg: #SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb…;Keluhan
"@ridwankamil @Satpolppbdg Mohon diamankan Pa Ogah per4an Pasar Suci Cihaurgeulis,  membuat jalan Suci macet total &amp; kacau.  Nuhun PERHATIANA";Keluhan
@ridwankamil @dbmpkotabdg Mohon dipasang tiang utk LAMPU MERAH DI PER4AN PASAR SUCI,  CIHAURGEULIS.  SERING TERJADI MACET TOTAL @IWGinting;Keluhan
Setuju ini, sepanjang jl riau banyak yg parkir. Malah ada yg di trotoar juga :(( @ridwankamil  https://t.co/aNqS5ONcZi;Keluhan
@pjudbmpbdg ass pak kiaracondong masih bnyk lampu jalan yg mati bbk sari.1mohon di perbaiki @Kec_Kircon @Kel_BabakanSari @ridwankamil;Keluhan
RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;Keluhan
RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;Keluhan
RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…;Keluhan
@ridwankamil lieur lah kang ningali nu meuntas di bip padahal jambatan ngajegir mani gede jeung mani hese hoyong mapah di trotoar di bec teh;Keluhan
RT @PRFMnews: cc @distarcipBDG  RT  @saudarasanusi Penyangga gedung ini mengkhawatirkan deh pak @ridwankamil,takut roboh https://t.co/ILPnY…;Keluhan
@dbmpkotabdg lampu penerangan jalan di sepanjang jalan bima kel.arjuna kec.cicendo mati, hawatir rawan. Hatur nuhun https://t.co/5CkCjc9CUW;Keluhan
Kirmir kali cicadas rw13 kel bbksurabaya longsor, mhn bantuan @dbmpkotabdg cc @ridwankamil @OdedMD @yossiirianto https://t.co/Q1ilQH9uLP;Keluhan
Tiap hari lewat bolak balik pa @ridwankamil uang habis buat bayar jalan aja ini mah ???????? ga ada cara lain ? https://t.co/fydVITBqVv;Keluhan
Bpk @ridwankamil dompet sy dcopet d angkot cheum-ldng pk ??. spt.a copet.a bkrjasama sm spr agkt.a pak. Skg sy jd wanita tnp identitas pak??;Keluhan
jln jend sudirman dkt suryani ad cafe, mbl parkir dijln n naek trotoar pdhl ad rambu dilrng parkir @dbmpkotabdg @dishub_kotabdg @ridwankamil;Keluhan
@pdamtirtawening : Dari nmr pelanggan 00A06600370, Margahayu Raya J-II-37, mohon info sudah beberapa hari air tidak keluar.;Keluhan
Lapor pak @ridwankamil kmaren malem 20desember temen saya kena bacok oleh 7motor di jl lodaya(lapangan soft ball) https://t.co/UTfZOk3ThE;Keluhan
RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…;Keluhan
RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…;Keluhan
RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;Keluhan
@PRFMnews @infobandung  @pdamtirtawening  knpa air pdam di daerah tubagus ismail depan rt05 rw08 tidak menggalir dah 2 minggu;Keluhan
RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…;Keluhan
Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @OdedMD @marcommpr;Keluhan
@pdkebersihanbdg di Pasar Suci, baru masuk udah disambut bak sampah gede. Masa hal kaya gini ga kepikiran ngeganggu atau ngga?? @ridwankamil;Keluhan
RT @ahmad_chm: Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @Ode…;Keluhan
Pohon terbelah vertikal dpn rmh jl. Pratista raya 30,Antapani. Mohon bantuan @diskamtam utk mengamankan. https://t.co/mbdzSG09Uk;Keluhan
