;Tweet;Classfy;Tweet_Parsed
0;@ridwankamil @dbmpkotabdg kang teman saya tertimpa pohn dijln sangkuriang dpn polsek coblong tlg ditertibkan phn yg sdh lapuknuhun;Keluhan;ridwankamil dbmpkotabdg kang teman saya tertimpa pohn dijln sangkuriang dpn polsek coblong tlg ditertibkan phn yg sdh lapuknuhun
1;@dbmpkotabdg RT @fajriattack: Lapor pak @ridwankamil lampu penerangan jalan depan kampus lpkia ngaplek :(:(:( https://t.co/RNsU5cQHuq;Keluhan;dbmpkotabdg rt fajriattack lapor pak ridwankamil lampu penerangan jalan depan kampus lpkia ngaplek ((( https//tco/rnsu5cqhuq
2;Pa @ridwankamil tempat kerja saya tgl 25 tetep masuk. gimana itu aturannya pa? kalo misalnya ga masuk dipotong gaji https://t.co/u3L7XtJFgE;Keluhan;pa ridwankamil tempat kerja saya tgl 25 tetep masuk gimana itu aturannya pa kalo misalnya ga masuk dipotong gaji https//tco/u3l7xtjfge
3;@pdamtirtawening@ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;Keluhan;pdamtirtaweningridwankamil  00106700466 punten sudah seminggu air pdam tidak mengalir mohon bantuannya segera
4;RT @KendiAdiputra: Anak SMA yang ketahuan mencuri helem di bip, hari ini pak @ridwankamil https://t.co/Zyz2bo4Ipk;Keluhan;rt kendiadiputra anak sma yang ketahuan mencuri helem di bip hari ini pak ridwankamil https//tco/zyz2bo4ipk
5;Kang @ridwankamil, jalan di Muararajeun Baru, baru sebulanan dibenerin,udah rusak lagi. Yang ngerjain kaya ga serius https://t.co/yULuN5GC7n;Keluhan;kang ridwankamil jalan di muararajeun baru baru sebulanan dibenerinudah rusak lagi yang ngerjain kaya ga serius https//tco/yulun5gc7n
6;RT @AdamMaulud: Didinyamah kieu ?? bosss! Kumaha pak? @ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pisan atuhda-.- https://t.c;Keluhan;rt adammaulud didinyamah kieu  boss kumaha pak ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pisan atuhda-- https//tc
7;Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :((;Keluhan;pak ridwankamil punten tolong marahin motor yg ga pake spakbor belakang udah mah td kehujanan wajah rupawan sy kacepretan ((
8;RT @iqbalfg: Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :;Keluhan;rt iqbalfg pak ridwankamil punten tolong marahin motor yg ga pake spakbor belakang udah mah td kehujanan wajah rupawan sy kacepretan 
9;Pak, tadi saya habis dari Kebun Binatang, itu kebersihannya masih kurang dan orangutannya juga jomblo pak, mohon solusi pak.. @ridwankamil;Keluhan;pak tadi saya habis dari kebun binatang itu kebersihannya masih kurang dan orangutannya juga jomblo pak mohon solusi pak ridwankamil
10;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX;Keluhan;rt tadjiuinbdg ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri  24 https//tco/t9nhcx
11;Bonbin bandung agak kurang terawat, kasian sama hewan hewannya. Pak @ridwankamil coba bonbin bandung di bikin kayak singapore zoo;Keluhan;bonbin bandung agak kurang terawat kasian sama hewan hewannya pak ridwankamil coba bonbin bandung di bikin kayak singapore zoo
12;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX;Keluhan;rt tadjiuinbdg ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri  24 https//tco/t9nhcx
13;@dishub_kotabdg sepertinya yang membuat jlnan macet adlah prmptan. Hrsnya ada jambtn lyang ditiap perempatan. @ridwankamil;Keluhan;dishub_kotabdg sepertinya yang membuat jlnan macet adlah prmptan hrsnya ada jambtn lyang ditiap perempatan ridwankamil
